,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
74,4025,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.588380137,0.611839019,0.614081567,0.642860704,0.62324159,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Yavapai,Arizona
75,4027,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.54823398,0.576732094,0.563498796,0.556622888,0.474721751,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Yuma,Arizona
76,5001,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.526208412,0.545493809,0.599742046,0.600092393,0.615904701,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Arkansas,Arkansas
77,5005,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.570864257,0.600539665,0.64321105,0.707792544,0.742790651,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Baxter,Arkansas
78,5007,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.649405361,0.68365115,0.6720387,0.689478532,0.628676774,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Benton,Arkansas
79,5009,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.628456179,0.66271909,0.68340442,0.725034111,0.75941903,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Boone,Arkansas
80,5013,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.51624714,0.582283977,0.659449707,0.670653174,0.685764654,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Calhoun,Arkansas
81,5015,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.579353493,0.590020036,0.57500709,0.601492684,0.630786392,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Carroll,Arkansas
82,5023,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.561379445,0.591550486,0.702240254,0.746372456,0.782623086,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Cleburne,Arkansas
83,5025,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.527507073,0.574656751,0.699286733,0.708205756,0.734048897,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Cleveland,Arkansas
84,5027,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.53916407,0.578161268,0.613203599,0.612374405,0.61393046,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Columbia,Arkansas
85,5029,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.490047,0.49635796,0.576431556,0.583958603,0.611706825,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Conway,Arkansas
